2019-10-29,12:27:55,37.6500407,127.0204077,0.0,0.0
2019-10-29,12:28:36,37.6492384,127.0224856,0.2035215236426951,17.74381200023497
2019-10-29,12:28:55,37.6489727,127.0229126,0.2513326959848783,8.888670751490366
2019-10-29,12:29:15,37.6489082,127.0230989,0.2692333697978533,3.2192239847492288
2019-10-29,12:29:36,37.6480633,127.024238,0.40664562685975414,24.451788118374914
2019-10-29,12:29:55,37.647637,127.0250817,0.4947585288671638,16.031863298629073
2019-10-29,12:30:16,37.6466922,127.025249,0.6008379178856105,18.891209520969973
2019-10-29,12:30:36,37.6463314,127.0248218,0.6558282182351485,9.88194884731876
2019-10-29,12:30:56,37.6460691,127.0246252,0.689742811298023,6.167847184963286
2019-10-29,12:31:16,37.6449351,127.0236657,0.8415137750865118,26.242817946136395
2019-10-29,12:31:35,37.6448074,127.0236139,0.8564272689795891,2.83736275314862
2019-10-29,12:31:56,37.64409,127.0230463,0.9505553368860459,15.977982104076029
2019-10-29,12:32:16,37.6434519,127.0225709,1.0329312561017523,15.008518101955705
2019-10-29,12:32:36,37.6433666,127.0226369,1.0440539621110407,2.0021871910314735
2019-10-29,12:32:56,37.643408,127.022528,1.0546895937750764,1.912405673569171
2019-10-29,12:33:16,37.6431001,127.0226895,1.0917601352160247,6.657053383918467
2019-10-29,12:33:36,37.6422111,127.0237043,1.2250031176595377,24.018563757280408
2019-10-29,12:33:56,37.6413382,127.0248929,1.3677328522159444,25.64519087657536
2019-10-29,12:34:16,37.6412488,127.0250757,1.3866495719567113,3.4089298226340605
2019-10-29,12:34:37,37.640516,127.0259418,1.4982470960538719,19.790693928560472
2019-10-29,12:34:56,37.6404091,127.0261571,1.5206217678007814,4.081521068602699
2019-10-29,12:35:36,37.6401425,127.0265458,1.565898452034833,4.067173950558573
2019-10-29,12:35:56,37.6400482,127.0263664,1.584857285914275,3.418572600350203
2019-10-29,12:36:16,37.6399303,127.0265615,1.606466072654798,3.890359685231164
2019-10-29,12:36:37,37.6398743,127.0273231,1.6738112469879447,11.930644535176851
2019-10-29,12:36:56,37.639685,127.027087,1.7033946237318474,5.391321062977083
2019-10-29,12:37:17,37.6389109,127.0266029,1.7994423824978851,16.998767590469313
2019-10-29,12:37:37,37.6379982,127.0255296,1.9381129487687732,24.93701176758066
